frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
463,15425.8,31,500,278,,,,,,,,,,,,,,,
464,15452.8,30,496,267,,,,,,,,,,,,,,,
465,15485.2,30,493,269,,,,,,,,,,,,,,,
466,15517.6,31,491,282,,,,,,,,,,,,,,,
467,15552.8,32,491,304,,,,,,,,,,,,,,,
468,15584.8,33,490,334,,,,,,,,,,,,,,,
469,15617.6,32,488,367,,,,,,,,,,,,,,,
470,15652.7,32,487,400,,,,,,,,,,,,,,,
471,15685,31,484,429,,,,,,,,,,,,,,,
472,15719.5,29,486,451,,,,,,,,,,,,,,,
473,15754.9,29,485,462,,,,,,,,,,,,,,,
